idle_rat_0,55,8,23,15
idle_rat_5,26,25,27,12
idle_rat_1,26,13,27,11
idle_rat_2,79,84,25,11
idle_rat_3,54,83,24,11
idle_rat_4,28,83,25,11
run_rat_0,79,68,23,15
run_rat_1,79,42,26,14
run_rat_5,79,13,24,14
run_rat_2,26,0,28,12
run_rat_3,0,83,27,12
run_rat_4,79,0,27,12
attack_rat_3,33,50,21,25
attack_rat_4,55,40,21,23
attack_rat_0,55,24,23,15
attack_rat_2,0,0,23,15
attack_rat_5,55,64,22,15
attack_rat_1,79,28,27,13
death_rat_0,0,34,23,15
death_rat_1,26,38,27,11
death_rat_2,0,23,25,10
death_rat_3,79,57,24,10
death_rat_4,55,0,23,7
death_rat_5,0,16,23,6
hurt_rat,0,50,32,32
